source,title,description,start_date,end_date,location,register_link,category
UiPath,See the Power of Conversational Intelligence in Action,"See UiPath Communications Mining in action during this live demo. Organizations are sitting on a goldmine of untapped data within their customer communications. We explore how Communications Mining can automatically analyse emails, documents, calls, and support tickets to extract valuable insights.",2025-11-12T00:00,,,https://start.uipath.com/see-the-uipath-platform-in-action-live-demo-dec.html,Webinar
UiPath,The Process Transformation Series,Watch this webinar series to learn how to orchestrate AI at scale for measurable results. See Dhruv’s demo of the future of orchestration.,2025-10-01,,,https://www.uipath.comresources/automation-webinars/process-transformation-series,Webinar
UiPath,Accelerate end-to-end testing for Workday and enterprise apps with AI agents ,"Watch our webinar to see how UiPath Test Cloud uses AI agents to accelerate UAT and reduce manual effort across Workday, Salesforce, SAP & ServiceNow.",2025-08-21,,,https://www.uipath.comresources/automation-webinars/accelerate-end-to-end-testing-for-workday-and-enterprise-apps-with-ai-agents,Webinar
UiPath,Accelerate quality testing at scale with AI agents,Join UiPath and Forrester’s Diego Lo Giudice to explore how agentic testing with AI agents is revolutionizing the software testing lifecycle.,2025-05-22,,,https://www.uipath.comresources/automation-webinars/forrester-agentic-testing-webinar,Webinar
UiPath,Unlock agentic automation and future-proof your business with Automation Cloud ,"Join our webinar to kickstart your agentic automation journey, scale across departments and geographies, reduce IT complexity, cut costs, and drive global innovation.",2025-05-09,,,https://www.uipath.comresources/automation-webinars/unlock-agentic-automation-with-automation-cloud,Webinar
UiPath,UiPath Autopilot™ for testers,Unlock the highest potential for your QA team and boost innovation by speeding up software testing with UiPath Autopilot™ for testers.,2024-07-08,,,https://www.uipath.comresources/automation-webinars/autopilot-for-testers,Webinar
UiPath,See the Power of UiPath Maestro in Action,"See UiPath Maestro in action. By unifying agentic AI, automation, BPM, and process intelligence, UiPath Maestro gives organizations total control to design, run, and optimize new agentic processes.",2025-11-11T00:00,,,https://start.uipath.com/see-the-uipath-platform-in-action-live-demo-nov.html,Webinar
UiPath,Agentic Automation Unlocked,"Our aim is to educate, inspire and accelerate your journey to agentic success. We'll explore agentic automation capabilities today, look at real-world practical applications and share how to move from proof to scaling.",2025-11-04T00:00,,,https://start.uipath.com/Agentic-Automation-Unlocked-Webinar-Series.html,Webinar
UiPath,The role of process intelligence in your agentic journey,"Watch this on-demand webinar to see how you can leverage UiPath process intelligence, in combination with agentic orchestration (UiPath Maestro™), to enhance your agentic automation programs.",2025-10-31T00:00,,,https://start.uipath.com/The-Role-of-Process-Intelligence-in-Your-Agentic-Journey.html,Webinar
UiPath,See UiPath Agent Builder in Action,"Whether you're new to automation or looking to expand your existing capabilities, this demo will provide valuable insights into UiPath Agent Builder.",2025-10-15T00:00,,,https://start.uipath.com/see-the-uipath-platform-in-action-live-demo.html,Webinar
UiPath,From Scripts to Intelligence: Evolving Testing Practices with AI ,"Learn how UiPath Test Cloud brings agentic testing to life, accelerating UAT and cutting manual effort across your applications.",2025-10-09T00:00,,,https://start.uipath.com/from-scripts-to-intelligence-evolving-testing-practices-with-ai.html,Webinar
UiPath,Agentic Automation Summit On-Demand webinar,"The UiPath Agentic Automation Summit is your gateway to a new era of opportunity where agents, robots, and people are redefining what automation can achieve.",2025-09-26,,,https://www.uipath.comresources/automation-webinars/agentic-automation-summit-apac,Webinar
UiPath,Revolutionizing Oil & Gas Operations with Agentic Orchestration,"Discover how Agentic Orchestration is transforming Oil & Gas operations by enabling autonomous AI agents to coordinate complex workflows. We’ll hear real experiences from Continental Resources about using agentic automation to unlock new levels of efficiency, resilience, and scalability.",2025-09-23T00:00,,,https://start.uipath.com/Revolutionizing-Oil-Gas-Operations-with-Agentic-Orchestration-Webinar.html,Webinar
UiPath,The Agentic Approach to Healthcare Transformation,"UiPath and Mayo Clinic share how agentic automation is redefining healthcare transformation, with practical examples and real-world lessons from Mayo Clinic’s enterprise automation journey.",2025-09-10T00:00,,,https://start.uipath.com/The-Agentic-Approach-to-Healthcare-Transformation.html,Webinar
UiPath,Reimagining Mortgage Workflows: Agentic Automation in Action,Join this webinar to explore how agentic automation and intelligent orchestration are reshaping the mortgage lifecycle.,2025-09-08T00:00,,,https://start.uipath.com/Reimagining-Mortgage-Workflows.html,Webinar
UiPath,"Test Smarter, Not Harder: Breaking Free from Manual Testing with AI-Powered Solutions",Ready to transform your testing approach? Don't miss this opportunity to learn how you can break free from manual testing constraints and embrace the future of test automation.,2025-09-08T00:00,,,https://start.uipath.com/Breaking-Free-from-Manual-Testing-with-AI-Powered-Solutions.html,Webinar
UiPath,"Orchestrating AI Agents, Robots, and People Across Your Enterprise","Tune in to the recording to find out how to stay ahead of the curve in AI transformation, and how to take the first step towards an orchestrated enterprise.",2025-08-20T00:00,,,https://start.uipath.com/orchestrating-AI-agents-robots-and-people-across-your-enterprise.html,Webinar
UiPath,TAM Talks: UiPath Agent Builder Advance Topics ,"This webinar is designed for UiPath practitioners, COE teams, and tech leaders looking to deepen their understanding of Agent Builder and its role in intelligent automation.",2025-08-14T00:00,,,https://start.uipath.com/TAM-Tech-Talks-Agent-Builder.html,Webinar
UiPath,Driving Intelligent Automation with Agentic Orchestration,"Explore how agentic orchestration—a cutting-edge approach combining AI, automation, and decision-making agents—can streamline operations, boost agility, and drive intelligent transformation across any business function.",2025-08-12T00:00,,,https://start.uipath.com/driving-intelligent-automation-with-agentic-orchestration.html,Webinar
UiPath,The Future of Prior Authorization,Join a panel of seasoned healthcare and automation experts from Genzeon and UiPath as they unpack the critical challenges and emerging opportunities in Prior Auth transformation.,2025-07-29T00:00,,,https://start.uipath.com/The-Future-of-Prior-Authorization.html,Webinar
UiPath,Agentic Automation Summit ANZ <br> On-Demand webinar,"Register now to watch the on-demand webinar from the UiPath Agentic Automation Summit in Sydney to explore explore how AI, robots, and people drive change.",2025-07-28,,,https://www.uipath.comresources/automation-webinars/agentic-automation-summit-anz,Webinar
UiPath,Innovate and enhance decision quality with UiPath Process Mining: Redefining business processes,Empower business innovation and efficiency.,2025-07-23T00:00,,,https://start.uipath.com/Innovate-and-Enhance-Decision-Quality-with-UiPath-Process-Mining.html,Webinar
UiPath,The New Tools for Intelligent Testing: UiPath Test Cloud and Deloitte,Are you ready to transform your testing approach with intelligent automation? Join us for an insightful webinar featuring UiPath and Deloitte experts as we unveil the future of testing.,2025-07-21T00:00,,,https://start.uipath.com/UiPath-Test-Cloud-and-Deloitte.html,Webinar
UiPath,Transforming Document Operations in Insurance,"Transformation in the insurance industry has long been impeded by the challenges of unstructured and highly variable documents. Downstream lines of business struggle to improve processes when they first need to categorize, ingest, and enrich a myriad of incoming document types, formats, and content varieties.",2025-07-21T00:00,,,https://start.uipath.com/Transforming-Document-Operations-in-Insurance.html,Webinar
UiPath,Revolutionize Oracle Testing with Agentic AI in UiPath Test Cloud,"This webinar explores how UiPath Test Cloud brings intelligent, agentic testing to Oracle environments combining AI-powered test generation, resilient automation, and seamless DevOps integration.",2025-07-18T00:00,,,https://start.uipath.com/Revolutionize-Oracle-Testing-with-Agentic-AI-in-UiPath-Test-Cloud.html,Webinar
UiPath,Transform Unstructured Documents with Agentic Automation,"In this session, you'll see how to apply UCD across use cases like contract analysis and multi-table layouts, then connect that data into end-to-end automations using UiPath Agent Builder.",2025-07-18T00:00,,,https://start.uipath.com/Transform-Unstructured-Documents-with-Agentic-Automation.html,Webinar
UiPath,Transform Your Automation Journey with Healing Agent Technology,"In this engaging webinar, learn how our innovative Healing Agent technology transforms your automation processes by actively identifying and remedying issues before they impact your operations. Join industry experts as they share hands-on insights, best practices, and real-world success stories that will empower you to achieve greater system resilience and efficiency.",2025-07-18T00:00,,,https://start.uipath.com/TAM-Talks-Healing-Agent.html,Webinar
UiPath,Winning the Denials Battle with Agentic Automation: Speeding Up Appeals and Protecting Revenue,"Join us and discover how agentic automation reduces denials, accelerates appeals, and improves financial outcomes.",2025-07-18T00:00,,,https://start.uipath.com/Winning-the-Denials-Battle.html,Webinar
UiPath,From 40 minutes to 5: a new era in paediatric referrals,"Ada, a digital worker at Cambridgeshire Community Services NHS Trust (CCS NHST), has transformed the way paediatric referrals are processed.",2025-07-02T00:00,,,https://start.uipath.com/cambridge-NHS.html,Webinar
UiPath,The Next Era of AML: Powered by Agentic AI,"Join us to hear from our industry experts as they explore how AI-driven autonomy enhances compliance workflows, reduces false positives, and strengthens fraud detection mechanisms - all while minimizing operational burdens.",2025-07-02T00:00,,,https://start.uipath.com/the-next-era-of-aml.html,Webinar
UiPath,Demystifying AI & agentic automation in BFS contact centers & CX teams,"Watch the on-demand webinar and learn from Rufino Chiong, EMEA Practice Director, CX and Contact Centers at UiPath, Scott Dresser, Contact Center Expert at UiPath, and Sai Vijayendra Madiga, Global Practice Lead for AI at Roboyo, how BFS organizations can go beyond the hype and implement agentic AI with purpose, clarity, and measurable ROI.",2025-06-30T00:00,,,https://start.uipath.com/Customer-Experience-Webinar.html,Webinar
UiPath,Transform your testing with agentic testing powered by UiPath Test Cloud,"Join us for an exclusive webinar exploring how UiPath Test Cloud leverages its enterprise-grade automation platform to achieve what many testing tools only promise in demos. In today’s complex IT environments spanning citrix, web, desktop, mobile, and APIs, most solutions break down at scale, struggle with test data management, or falter under change pressure.",2025-06-26T00:00,,,https://start.uipath.com/Transform-your-testing-with-agentic-testing-powered-by-UiPath-Test-Cloud.html,Webinar
UiPath,Smarter Pricing in Retail: Adapting to Tariffs and Volatility with Agentic AI ,"Watch this webinar to learn how retailers are using agentic AI to tackle tariffs, demand shifts, and pricing volatility with smarter, adaptive automation.",2025-06-19,,,https://www.uipath.comresources/automation-webinars/smarter-retail-pricing-with-agentic-ai,Webinar
UiPath,Revolutionize SAP and Oracle Testing with Agentic AI,"Learn how UiPath Test Cloud is redefining software testing with AI agents intelligent automation, and zero infrastructure burden built to handle the complexities of large-scale integrated systems like SAP, Oracle, and more.",2025-06-18T00:00,,,https://start.uipath.com/Revolutionize-SAP-and-Oracle-Testing-with-Agentic-AI.html,Webinar
UiPath,Agentic Automation for Healthcare Payers: A New Era Begins,"Join UiPath to see how the UiPath Platform for Agentic Automation brings together agents that think, robots that do, and people who lead to transform the way payer operations run. This isn’t about theory. It’s about what’s possible now.",2025-06-13T00:00,,,https://start.uipath.com/Agentic-Automation-for-Healthcare-Payers.html,Webinar
UiPath,Rebuilding Insurance Ops with Agentic Automation,"In this 45-minute live session, we’ll show you why agentic systems are the next evolution in operational transformation, how they’re already delivering results in real insurance use cases, and what it actually looks like in practice through two live demos.",2025-06-09T00:00,,,https://start.uipath.com/Rebuilding-Insurance-Ops-with-Agentic-Automation.html,Webinar
UiPath,Revolutionize Software Testing for Salesforce and Core Applications,"In this webinar, you'll discover how you can transform your software testing with agentic testing powered by UiPath Test Cloud, accelerating testing for critical core applications like Salesforce, Episys, and Guidewire.",2025-05-09T00:00,,,https://start.uipath.com/Unleash-Agentic-Testing-with-UiPath-Test-Cloud.html,Webinar
UiPath,"How the HSE transformed healthcare by saving over 800,000 hours of manual work","Since 2019, the Health Service Executive (HSE) Ireland has automated over 50 processes - delivering efficiency gains equivalent to 800,000 hours of manual work with a total value of €30 million.",2025-05-09T00:00,,,https://start.uipath.com/health-service-executive-ireland.html,Webinar
